model_id,feature,importance
XGB003,age,0.022121405228972435
XGB003,age_sq,0.01868237368762493
XGB003,NumberRealEstateLoansOrLines,0.015438352711498737
XGB003,DebtRatio_log,0.010962598957121372
XGB003,DebtRatio_capped,0.010427568107843399
XGB003,MonthlyIncome_median,0.010216365568339825
XGB003,NumberOfOpenCreditLinesAndLoans,0.009640635922551155
XGB003,DebtRatio_high_flag,0.006618058774620295
XGB003,NumberOfDependents_median,0.00649217376485467
XGB003,MonthlyIncome_missing_flag,0.005199540872126818
XGB003,NumberOfDependents_missing_flag,0.0
XGB003,RevolvingUtilization_high_flag,0.0
XGB004,NumberOfTimes90DaysLate,0.25844645500183105
XGB004,RevolvingUtilization_log,0.20378202199935913
XGB004,RevolvingUtilization_capped,0.176059752702713
XGB004,NumberOfTime30-59DaysPastDueNotWorse,0.1246602013707161
XGB004,NumberOfTime60-89DaysPastDueNotWorse,0.10639398545026779
XGB004,age_sq,0.024166390299797058
XGB004,age,0.022588729858398438
XGB004,NumberRealEstateLoansOrLines,0.015384107828140259
XGB004,DebtRatio_high_flag,0.012665596790611744
XGB004,DebtRatio_capped,0.011223740875720978
XGB004,DebtRatio_log,0.010664129629731178
XGB004,NumberOfOpenCreditLinesAndLoans,0.010317337699234486
XGB004,MonthlyIncome_median,0.009519814513623714
XGB004,NumberOfDependents_median,0.006194989662617445
XGB004,MonthlyIncome_missing_flag,0.00438104709610343
XGB004,RevolvingUtilization_high_flag,0.0035517066717147827
XGB004,NumberOfDependents_missing_flag,0.0
LGB001,RevolvingUtilization_capped,623.0
LGB001,age,611.0
LGB001,DebtRatio_capped,598.0
LGB001,MonthlyIncome_median,530.0
LGB001,NumberOfOpenCreditLinesAndLoans,449.0
LGB001,NumberOfTime30-59DaysPastDueNotWorse,292.0
LGB001,NumberRealEstateLoansOrLines,257.0
LGB001,NumberOfTimes90DaysLate,238.0
LGB001,NumberOfDependents_median,172.0
LGB001,NumberOfTime60-89DaysPastDueNotWorse,155.0
LGB001,RevolvingUtilization_log,79.0
LGB001,DebtRatio_log,73.0
LGB001,age_sq,53.0
LGB001,RevolvingUtilization_high_flag,29.0
LGB001,MonthlyIncome_missing_flag,28.0
LGB001,DebtRatio_high_flag,11.0
LGB001,NumberOfDependents_missing_flag,2.0
LGB002,DebtRatio_capped,2503.0
LGB002,age,2325.0
LGB002,MonthlyIncome_median,2266.0
LGB002,RevolvingUtilization_capped,2217.0
