table_name,model_id,split,bucket,total,bad,good,bad_rate,cum_bad,cum_total,cum_bad_pct,cum_total_pct,lift
lift,RLOG001,train,"(0.186, 0.91]",10458,2825,7633,0.2701281315739147,2825,10458,0.4032258064516129,0.1000066938884798,4.031988167724662
lift,RLOG001,train,"(0.115, 0.186]",10457,1482,8975,0.1417232475853495,4307,20915,0.6147587781901227,0.2000038250791313,3.073735104550595
lift,RLOG001,train,"(0.0658, 0.115]",10457,886,9571,0.0847279334417136,5193,31372,0.7412218098772481,0.3000009562697828,2.4707314906379403
lift,RLOG001,train,"(0.0426, 0.0658]",10457,553,9904,0.0528832361097829,5746,41829,0.8201541535826434,0.3999980874604343,2.050395187611412
lift,RLOG001,train,"(0.0312, 0.0426]",10457,387,10070,0.0370087023046762,6133,52286,0.8753925206965458,0.4999952186510858,1.750801783781507
lift,RLOG001,train,"(0.0253, 0.0312]",10458,282,10176,0.0269650028686173,6415,62744,0.9156437339423352,0.6000019125395657,1.5260680254614274
lift,RLOG001,train,"(0.0215, 0.0253]",10457,199,10258,0.0190303146217844,6614,73201,0.944047958892378,0.6999990437302172,1.348641783653948
lift,RLOG001,train,"(0.0182, 0.0215]",10457,165,10292,0.0157789040833891,6779,83658,0.9675992006851272,0.7999961749208687,1.209504783920794
lift,RLOG001,train,"(0.0145, 0.0182]",10457,132,10325,0.0126231232667112,6911,94115,0.9864401941193264,0.8999933061115202,1.0960528121940212
lift,RLOG001,train,"(-0.000999999999984, 0.0145]",10458,95,10363,0.0090839548670873,7006,104573,1.0,1.0,1.0
lift,RLOG001,validation,"(0.186, 0.8]",4482,1228,3254,0.2739848282016957,1228,4482,0.4089244089244089,0.1000066938884798,4.088970378127005
lift,RLOG001,validation,"(0.116, 0.186]",4482,623,3859,0.1390004462293619,1851,8964,0.6163836163836164,0.2000133877769596,3.0817117955672173
lift,RLOG001,validation,"(0.066, 0.116]",4481,371,4110,0.0827940191921446,2222,13445,0.73992673992674,0.29999776870384,2.466440810955501
lift,RLOG001,validation,"(0.0428, 0.066]",4482,248,4234,0.0553324408746095,2470,17927,0.8225108225108225,0.4000044625923198,2.056254115717495
lift,RLOG001,validation,"(0.0313, 0.0428]",4481,171,4310,0.0381611247489399,2641,22408,0.8794538794538794,0.4999888435192003,1.758947006224764
lift,RLOG001,validation,"(0.0252, 0.0313]",4482,127,4355,0.0283355644801427,2768,26890,0.9217449217449216,0.5999955374076801,1.5362529623593215
lift,RLOG001,validation,"(0.0215, 0.0252]",4482,77,4405,0.0171798304328424,2845,31372,0.9473859473859474,0.7000022312961599,1.3534041822005611
lift,RLOG001,validation,"(0.0181, 0.0215]",4481,59,4422,0.0131667038607453,2904,35853,0.967032967032967,0.7999866122230403,1.2088114379136052
lift,RLOG001,validation,"(0.0145, 0.0181]",4482,54,4428,0.0120481927710843,2958,40335,0.985014985014985,0.8999933061115202,1.09446923474443
lift,RLOG001,validation,"(-0.0009739, 0.0145]",4482,45,4437,0.0100401606425702,3003,44817,1.0,1.0,1.0
lift,RLOG002,train,"(0.179, 0.988]",10458,2905,7553,0.2777777777777778,2905,10458,0.4146445903511276,0.1000066938884798,4.14616836362483
lift,RLOG002,train,"(0.108, 0.179]",10457,1326,9131,0.126805010997418,4231,20915,0.6039109334855838,0.2000038250791313,3.019496918354671
lift,RLOG002,train,"(0.0626, 0.108]",10457,972,9485,0.0929520895094195,5203,31372,0.7426491578646874,0.3000009562697828,2.4754893020969004
lift,RLOG002,train,"(0.0405, 0.0626]",10457,592,9865,0.0566127952567658,5795,41829,0.8271481587210961,0.3999980874604343,2.067880284059891
lift,RLOG002,train,"(0.0296, 0.0405]",10457,371,10086,0.0354786267571961,6166,52286,0.8801027690550957,0.4999952186510858,1.7602223705848317
lift,RLOG002,train,"(0.0235, 0.0296]",10458,238,10220,0.0227576974564926,6404,62744,0.914073651156152,0.6000019125395657,1.5234512291589997
lift,RLOG002,train,"(0.0195, 0.0235]",10457,194,10263,0.0185521660131969,6598,73201,0.941764202112475,0.6999990437302172,1.3453792695114528
lift,RLOG002,train,"(0.0161, 0.0195]",10457,164,10293,0.0156832743616716,6762,83658,0.96517270910648,0.7999961749208687,1.2064716549450374
lift,RLOG002,train,"(0.0125, 0.0161]",10457,130,10327,0.0124318638232762,6892,94115,0.9837282329431916,0.8999933061115202,1.0930394995863395
lift,RLOG002,train,"(-0.001, 0.0125]",10458,114,10344,0.0109007458405048,7006,104573,1.0,1.0,1.0
lift,RLOG002,validation,"(0.18, 0.864]",4482,1271,3211,0.2835787594823739,1271,4482,0.4232434232434232,0.1000066938884798,4.232150936970214
lift,RLOG002,validation,"(0.11, 0.18]",4482,573,3909,0.1278447121820616,1844,8964,0.614052614052614,0.2000133877769596,3.0700575640334677
lift,RLOG002,validation,"(0.0629, 0.11]",4481,389,4092,0.086810979692033,2233,13445,0.7435897435897436,0.29999776870384,2.478650913980033
lift,RLOG002,validation,"(0.0408, 0.0629]",4482,238,4244,0.0531012940651494,2471,17927,0.8228438228438228,0.4000044625923198,2.05708660726232
lift,RLOG002,validation,"(0.0296, 0.0408]",4481,175,4306,0.039053782637804,2646,22408,0.8811188811188811,0.4999888435192003,1.762277083858662
lift,RLOG002,validation,"(0.0235, 0.0296]",4482,125,4357,0.0278893351182507,2771,26890,0.9227439227439228,0.5999955374076801,1.5379179764081214
lift,RLOG002,validation,"(0.0195, 0.0235]",4482,77,4405,0.0171798304328424,2848,31372,0.9483849483849484,0.7000022312961599,1.3548313219357462
lift,RLOG002,validation,"(0.016, 0.0195]",4481,44,4437,0.009819236777505,2892,35853,0.9630369630369632,0.7999866122230403,1.2038163493271854
lift,RLOG002,validation,"(0.0125, 0.016]",4482,54,4428,0.0120481927710843,2946,40335,0.981018981018981,0.8999933061115202,1.0900291972809637
lift,RLOG002,validation,"(-0.000999921, 0.0125]",4482,57,4425,0.0127175368139223,3003,44817,1.0,1.0,1.0
lift,RLOG003,train,"(0.177, 0.99]",10458,2906,7552,0.277873398355326,2906,10458,0.4147873251498715,0.1000066938884798,4.147595616073582
lift,RLOG003,train,"(0.107, 0.177]",10457,1329,9128,0.1270919001625705,4235,20915,0.6044818726805595,0.2000038250791313,3.022351559733404
lift,RLOG003,train,"(0.0621, 0.107]",10457,962,9495,0.0919957922922444,5197,31372,0.7417927490722238,0.3000009562697828,2.472634615221524
lift,RLOG003,train,"(0.0403, 0.0621]",10457,597,9860,0.0570909438653533,5794,41829,0.8270054239223523,0.3999980874604343,2.067523445356861
lift,RLOG003,train,"(0.0294, 0.0403]",10457,372,10085,0.0355742564789136,6166,52286,0.8801027690550957,0.4999952186510858,1.7602223705848317
lift,RLOG003,train,"(0.0234, 0.0294]",10458,236,10222,0.022566456301396,6402,62744,0.913788181558664,0.6000019125395657,1.5229754480131037
lift,RLOG003,train,"(0.0193, 0.0234]",10457,185,10272,0.0176914985177393,6587,73201,0.9401941193262916,0.6999990437302172,1.3431362910384872
lift,RLOG003,train,"(0.0159, 0.0193]",10457,168,10289,0.0160657932485416,6755,83658,0.9641735655152728,0.7999961749208687,1.2052227194844318
lift,RLOG003,train,"(0.0121, 0.0159]",10457,133,10324,0.0127187529884288,6888,94115,0.9831572937482158,0.8999933061115202,1.0924051179847227
lift,RLOG003,train,"(-0.001, 0.0121]",10458,118,10340,0.011283228150698,7006,104573,1.0,1.0,1.0
lift,RLOG003,validation,"(0.179, 0.885]",4482,1280,3202,0.285586791610888,1280,4482,0.4262404262404262,0.1000066938884798,4.262118960914142
lift,RLOG003,validation,"(0.109, 0.179]",4482,562,3920,0.1253904506916555,1842,8964,0.6133866133866134,0.2000133877769596,3.0667277835952538
lift,RLOG003,validation,"(0.0627, 0.109]",4481,392,4089,0.0874804731086811,2234,13445,0.7439227439227439,0.29999776870384,2.4797609233458995
lift,RLOG003,validation,"(0.0406, 0.0627]",4482,238,4244,0.0531012940651494,2472,17927,0.8231768231768232,0.4000044625923198,2.0579190988071447
lift,RLOG003,validation,"(0.0295, 0.0406]",4481,172,4309,0.0383842892211559,2644,22408,0.8804528804528805,0.4999888435192003,1.760945052805103
lift,RLOG003,validation,"(0.0233, 0.0295]",4482,123,4359,0.0274431057563587,2767,26890,0.9214119214119214,0.5999955374076801,1.5356979576763885
lift,RLOG003,validation,"(0.0193, 0.0233]",4482,77,4405,0.0171798304328424,2844,31372,0.9470529470529472,0.7000022312961599,1.3529284689554997
lift,RLOG003,validation,"(0.0158, 0.0193]",4481,47,4434,0.010488730194153,2891,35853,0.9627039627039627,0.7999866122230403,1.2034000919449837
lift,RLOG003,validation,"(0.0121, 0.0158]",4482,52,4430,0.0116019634091923,2943,40335,0.98001998001998,0.8999933061115202,1.0889191879150972
lift,RLOG003,validation,"(-0.0009999437000000001, 0.0121]",4482,60,4422,0.0133868808567603,3003,44817,1.0,1.0,1.0
lift,RLOG004,train,"(0.177, 0.991]",10458,2902,7556,0.2774909160451329,2902,10458,0.4142163859548958,0.1000066938884798,4.1418866062785735
lift,RLOG004,train,"(0.107, 0.177]",10457,1334,9123,0.127570048771158,4236,20915,0.6046246074793035,0.2000038250791313,3.023065220078087
lift,RLOG004,train,"(0.0621, 0.107]",10457,959,9498,0.0917089031270919,5195,31372,0.7415072794747359,0.3000009562697828,2.471683052929732
lift,RLOG004,train,"(0.0403, 0.0621]",10457,597,9860,0.0570909438653533,5792,41829,0.8267199543248644,0.3999980874604343,2.066809767950801
lift,RLOG004,train,"(0.0294, 0.0403]",10457,375,10082,0.0358611456440661,6167,52286,0.8802455038538396,0.4999952186510858,1.7605078429122052
lift,RLOG004,train,"(0.0234, 0.0294]",10458,236,10222,0.022566456301396,6403,62744,0.913930916357408,0.6000019125395657,1.5232133385860516
lift,RLOG004,train,"(0.0193, 0.0234]",10457,183,10274,0.0175002390743042,6586,73201,0.9400513845275478,0.6999990437302172,1.3429323839045813
lift,RLOG004,train,"(0.0159, 0.0193]",10457,167,10290,0.0159701635268241,6753,83658,0.9638880959177848,0.7999961749208687,1.2048658807814017
lift,RLOG004,train,"(0.0121, 0.0159]",10457,134,10323,0.0128143827101463,6887,94115,0.983014558949472,0.8999933061115202,1.0922465225843183
lift,RLOG004,train,"(-0.001, 0.0121]",10458,119,10339,0.0113788487282463,7006,104573,1.0,1.0,1.0
lift,RLOG004,validation,"(0.179, 0.887]",4482,1282,3200,0.28603302097278,1282,4482,0.4269064269064269,0.1000066938884798,4.26877852179057
lift,RLOG004,validation,"(0.108, 0.179]",4482,560,3922,0.1249442213297635,1842,8964,0.6133866133866134,0.2000133877769596,3.0667277835952538
