table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,RLOG002,train,0.0178143359217748,0.0156832743616716,3,
calibration,RLOG002,train,0.0214314367714494,0.0185521660131969,4,
calibration,RLOG002,train,0.026296270879708,0.0227576974564926,5,
calibration,RLOG002,train,0.0344360679669875,0.0354786267571961,6,
calibration,RLOG002,train,0.0501654887510506,0.0566127952567658,7,
calibration,RLOG002,train,0.0826620514108056,0.0929520895094195,8,
calibration,RLOG002,train,0.1415168491601607,0.126805010997418,9,
calibration,RLOG002,train,0.2723977473412293,0.2777777777777778,10,
calibration,RLOG002,validation,0.0098615392438511,0.0127175368139223,1,
calibration,RLOG002,validation,0.0142605512400913,0.0120481927710843,2,
calibration,RLOG002,validation,0.0177379749219978,0.009819236777505,3,
calibration,RLOG002,validation,0.0213528532385766,0.0171798304328424,4,
calibration,RLOG002,validation,0.0262835320417185,0.0278893351182507,5,
calibration,RLOG002,validation,0.0345630866136567,0.039053782637804,6,
calibration,RLOG002,validation,0.0504111862932981,0.0531012940651494,7,
calibration,RLOG002,validation,0.0836208426184015,0.086810979692033,8,
calibration,RLOG002,validation,0.1424391198432606,0.1278447121820616,9,
calibration,RLOG002,validation,0.2718529963740175,0.2835787594823739,10,
calibration,RLOG003,train,0.0094292422218002,0.011283228150698,1,
calibration,RLOG003,train,0.0140277205588418,0.0127187529884288,2,
calibration,RLOG003,train,0.0176036892888698,0.0160657932485416,3,
calibration,RLOG003,train,0.0212653947838981,0.0176914985177393,4,
calibration,RLOG003,train,0.0261707786753008,0.022566456301396,5,
calibration,RLOG003,train,0.0342859604012189,0.0355742564789136,6,
calibration,RLOG003,train,0.0498831034259699,0.0570909438653533,7,
calibration,RLOG003,train,0.0820339436435051,0.0919957922922444,8,
calibration,RLOG003,train,0.1406814321524203,0.1270919001625705,9,
calibration,RLOG003,train,0.2746641482751046,0.277873398355326,10,
calibration,RLOG003,validation,0.0093914055130007,0.0133868808567603,1,
calibration,RLOG003,validation,0.0139817928822928,0.0116019634091923,2,
calibration,RLOG003,validation,0.0175319349579221,0.010488730194153,3,
calibration,RLOG003,validation,0.0211988362747263,0.0171798304328424,4,
calibration,RLOG003,validation,0.0261741777752828,0.0274431057563587,5,
