model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
T006,validation,0.38198311696682025,0.5330579621860492,0.16676795395813135
T007,train,0.31298558848469427,0.5207959069311743,0.12368861290287067
T007,validation,0.31401598426658284,0.5341636366242881,0.12729406801775717
WASTACK001,train,0.021397092083194662,0.09835388747544394,0.0015399977045179936
WASTACK001,validation,0.021541506212539873,0.09372592984219147,0.0014451390673990501
WASTACK002,train,0.021598766699009155,0.10117517153510447,0.0015916738939757951
WASTACK002,validation,0.021743149433945917,0.09651785243638661,0.001493049086675948
WASTACK003,train,0.006035327359206189,0.022811973977955702,7.491317649355484e-05
WASTACK003,validation,0.007144464187244961,0.022772933776663007,8.69091331840117e-05
WASTACK004,train,0.002848479043633162,0.011480152688134904,1.7202121221268587e-05
WASTACK004,validation,0.0034497299657361502,0.008891822985796216,1.793704258763989e-05
WGNB001,train,0.0802833743692826,0.6269823565099463,0.039874665038387824
WGNB001,validation,0.07976342305515169,0.6288081032700436,0.040081167322139996
WGNB002,train,0.0802833749671864,0.6269823572037975,0.039874665114143046
WGNB002,validation,0.07976342368178399,0.6288081042420127,0.04008116743038816
WGNB003,train,0.08028337496179941,0.6269823571975431,0.03987466511346015
