pd_band,predicted_pd,actual_default_rate,count,abs_error,split,model_id
"(0.4, 1.0]",0.5629523011616788,0.5857307249712314,3476,0.022778423809552528,train,XGBSTACK001
"(-0.001, 0.05]",0.022170586175984542,0.022323035932886873,27774,0.00015244975690233142,validation,BLOG001
"(0.05, 0.1]",0.0568161354222942,0.06244707874682472,4724,0.00563094332453052,validation,BLOG001
"(0.1, 0.2]",0.15576736272588756,0.1495715169184557,11319,0.006195845807431877,validation,BLOG001
"(0.2, 0.4]",0.3627746660922017,0.395,1000,0.032225333907798304,validation,BLOG001
"(-0.001, 0.05]",0.02458561250386279,0.02291921760698251,31851,0.00166639489688028,validation,BLOG002
"(0.05, 0.1]",0.08526246211968501,0.07884028484231943,3932,0.006422177277365576,validation,BLOG002
"(0.1, 0.2]",0.11832975589740333,0.13062269889546982,6247,0.012292942998066492,validation,BLOG002
"(0.2, 0.4]",0.247392138488435,0.31654676258992803,1112,0.06915462410149303,validation,BLOG002
"(0.4, 1.0]",0.5248599608616065,0.4746268656716418,1675,0.05023309518996466,validation,BLOG002
"(-0.001, 0.05]",0.02099641166817524,0.017990506854316725,30127,0.0030059048138585155,validation,BLOG003
"(0.05, 0.1]",0.07688311425540098,0.07832382623957876,9116,0.0014407119841777782,validation,BLOG003
"(0.1, 0.2]",0.15639332987657728,0.18213728549141966,2564,0.025743955614842384,validation,BLOG003
"(0.2, 0.4]",0.29109049031032175,0.34223013048635825,1686,0.051139640176036505,validation,BLOG003
"(0.4, 1.0]",0.5970702322052684,0.5309667673716012,1324,0.06610346483366725,validation,BLOG003
"(-0.001, 0.05]",0.02052309770178614,0.017039938401794383,29871,0.0034831592999917567,validation,BLOG004
"(0.05, 0.1]",0.07224813670966833,0.07266091572660915,9042,0.00041277901694082575,validation,BLOG004
"(0.1, 0.2]",0.14602471660935637,0.18415260454878943,2726,0.03812788793943306,validation,BLOG004
"(0.2, 0.4]",0.27538123786791463,0.31952662721893493,1690,0.0441453893510203,validation,BLOG004
"(0.4, 1.0]",0.5965390813732914,0.5342741935483871,1488,0.06226488782490425,validation,BLOG004
"(-0.001, 0.05]",0.020857031662766604,0.017106901750016387,30514,0.003750129912750217,validation,BLOG005
"(0.05, 0.1]",0.07459991927240628,0.07759626604434072,8570,0.002996346771934444,validation,BLOG005
"(0.1, 0.2]",0.14921044193063965,0.18253035644339993,2553,0.033319914512760285,validation,BLOG005
"(0.2, 0.4]",0.2821098749551219,0.3299145299145299,1755,0.047804654959408,validation,BLOG005
"(0.4, 1.0]",0.6041729652443062,0.5410526315789473,1425,0.06312033366535885,validation,BLOG005
"(-0.001, 0.05]",0.00647398097281755,0.022802877370560973,35171,0.016328896397743424,validation,BNB001
"(0.05, 0.1]",0.07187038394326092,0.08878741755454084,1971,0.016917033611279914,validation,BNB001
"(0.1, 0.2]",0.14047046542919805,0.11278586278586279,1924,0.027684602643335263,validation,BNB001
"(0.2, 0.4]",0.28231606307869583,0.14273648648648649,1184,0.13957957659220935,validation,BNB001
"(0.4, 1.0]",0.8359469767575518,0.3590978760674403,4567,0.4768491006901115,validation,BNB001
"(-0.001, 0.05]",0.01577966679187147,0.010745891276864728,22148,0.005033775515006741,validation,BNB002
"(0.05, 0.1]",0.07154048514506317,0.02289749625508239,4673,0.04864298888998078,validation,BNB002
"(0.1, 0.2]",0.1416325905367578,0.038703434929850025,4134,0.10292915560690778,validation,BNB002
"(0.2, 0.4]",0.28772934403587835,0.06893900563813429,3902,0.21879033839774406,validation,BNB002
"(0.4, 1.0]",0.7971806846427535,0.22379518072289156,9960,0.5733855039198619,validation,BNB002
"(-0.001, 0.05]",0.00647629278252382,0.02280158075796776,35173,0.01632528797544394,validation,BNB003
"(0.05, 0.1]",0.07188936671740018,0.08887760284408329,1969,0.016988236126683112,validation,BNB003
"(0.1, 0.2]",0.1404632223955963,0.11278586278586279,1924,0.027677359609733512,validation,BNB003
"(0.2, 0.4]",0.28230911904427797,0.14273648648648649,1184,0.13957263255779148,validation,BNB003
"(0.4, 1.0]",0.8359417088635168,0.3590978760674403,4567,0.4768438327960765,validation,BNB003
"(-0.001, 0.05]",0.01578005212295438,0.010745891276864728,22148,0.005034160846089651,validation,BNB004
"(0.05, 0.1]",0.07154027018845957,0.02289749625508239,4673,0.04864277393337718,validation,BNB004
"(0.1, 0.2]",0.14163014389243572,0.038703434929850025,4134,0.1029267089625857,validation,BNB004
"(0.2, 0.4]",0.2877209934602252,0.06893900563813429,3902,0.21878198782209093,validation,BNB004
"(0.4, 1.0]",0.7971744443955352,0.22379518072289156,9960,0.5733792636726436,validation,BNB004
"(-0.001, 0.05]",0.006474851247991644,0.02280222904583191,35172,0.016327377797840267,validation,BNB005
"(0.05, 0.1]",0.07193120740545329,0.08865248226950355,1974,0.016721274864050256,validation,BNB005
"(0.1, 0.2]",0.14053845289896022,0.11302083333333333,1920,0.027517619565626886,validation,BNB005
"(0.2, 0.4]",0.2823004376260932,0.14273648648648649,1184,0.1395639511396067,validation,BNB005
"(0.4, 1.0]",0.8359351228019947,0.3590978760674403,4567,0.47683724673455435,validation,BNB005
"(-0.001, 0.05]",0.015778988271761715,0.010746376484399692,22147,0.005032611787362022,validation,BNB006
"(0.05, 0.1]",0.07153539302413742,0.022892597347026103,4674,0.048642795677111314,validation,BNB006
"(0.1, 0.2]",0.14162708452620418,0.038703434929850025,4134,0.10292364959635415,validation,BNB006
"(0.2, 0.4]",0.2877105540673826,0.06893900563813429,3902,0.2187715484292483,validation,BNB006
"(0.4, 1.0]",0.7971666427558998,0.22379518072289156,9960,0.5733714620330082,validation,BNB006
"(-0.001, 0.05]",0.006474238794170006,0.02280222904583191,35172,0.016327990251661907,validation,BNB007
"(0.05, 0.1]",0.07191907503980667,0.08865248226950355,1974,0.01673340722969688,validation,BNB007
"(0.1, 0.2]",0.14051128847568575,0.11302083333333333,1920,0.02749045514235242,validation,BNB007
"(0.2, 0.4]",0.2822743842095973,0.14273648648648649,1184,0.1395378977231108,validation,BNB007
"(0.4, 1.0]",0.8359153566619513,0.3590978760674403,4567,0.47681748059451096,validation,BNB007
"(-0.001, 0.05]",0.0157804303529414,0.010746376484399692,22147,0.0050340538685417074,validation,BNB008
"(0.05, 0.1]",0.07153458252542867,0.022892597347026103,4674,0.04864198517840257,validation,BNB008
"(0.1, 0.2]",0.1416178993592102,0.038703434929850025,4134,0.10291446442936018,validation,BNB008
"(0.2, 0.4]",0.28767922807291463,0.06893900563813429,3902,0.21874022243478033,validation,BNB008
"(0.4, 1.0]",0.7971432289716075,0.22379518072289156,9960,0.5733480482487159,validation,BNB008
"(-0.001, 0.05]",0.006473217409473992,0.02280222904583191,35172,0.01632901163635792,validation,BNB009
"(0.05, 0.1]",0.07187031424241841,0.08874239350912778,1972,0.016872079266709375,validation,BNB009
"(0.1, 0.2]",0.14042395454023135,0.11290322580645161,1922,0.02752072873377974,validation,BNB009
"(0.2, 0.4]",0.28223093134508287,0.14273648648648649,1184,0.13949444485859638,validation,BNB009
"(0.4, 1.0]",0.8358823866041932,0.3590978760674403,4567,0.4767845105367529,validation,BNB009
"(-0.001, 0.05]",0.015782828614316104,0.010746376484399692,22147,0.005036452129916411,validation,BNB010
"(0.05, 0.1]",0.07153321345286834,0.022892597347026103,4674,0.048640616105842235,validation,BNB010
"(0.1, 0.2]",0.1415742692208147,0.03848015488867377,4132,0.10309411433214094,validation,BNB010
"(0.2, 0.4]",0.2875821351101604,0.06915983606557377,3904,0.21842229904458663,validation,BNB010
"(0.4, 1.0]",0.7971041764799524,0.22379518072289156,9960,0.5733089957570607,validation,BNB010
"(-0.001, 0.05]",0.006487236077322391,0.022850646582350434,35185,0.016363410505028042,validation,BNB011
"(0.05, 0.1]",0.07196058970860304,0.08835546475995915,1958,0.016394875051356103,validation,BNB011
"(0.1, 0.2]",0.14028164886289168,0.11290322580645161,1922,0.027378423056440074,validation,BNB011
"(0.2, 0.4]",0.2819747408646906,0.14189189189189189,1184,0.1400828489727987,validation,BNB011
"(0.4, 1.0]",0.8357210070847989,0.3592381786339755,4568,0.4764828284508234,validation,BNB011
"(-0.001, 0.05]",0.015787605632517524,0.010746376484399692,22147,0.005041229148117832,validation,BNB012
"(0.05, 0.1]",0.07153040702201637,0.022892597347026103,4674,0.04863780967499026,validation,BNB012
"(0.1, 0.2]",0.14169822599619725,0.0391020999275887,4143,0.10259612606860855,validation,BNB012
"(0.2, 0.4]",0.2877253084645848,0.068584639095813,3893,0.21914066936877177,validation,BNB012
"(0.4, 1.0]",0.7970259610549203,0.22379518072289156,9960,0.5732307803320287,validation,BNB012
"(-0.001, 0.05]",0.006480611397937304,0.02285194554188102,35183,0.01637133414394372,validation,BNB013
"(0.05, 0.1]",0.07190017817348388,0.0881304126337239,1963,0.016230234460240023,validation,BNB013
"(0.1, 0.2]",0.14016410360545703,0.11307972902553413,1919,0.027084374579922896,validation,BNB013
"(0.2, 0.4]",0.2818985706852945,0.14177215189873418,1185,0.14012641878656032,validation,BNB013
"(0.4, 1.0]",0.8356843230407106,0.35931683818699367,4567,0.47636748485371694,validation,BNB013
"(-0.001, 0.05]",0.015797081826822854,0.010746376484399692,22147,0.005050705342423162,validation,BNB014
