model_id,split,threshold,approval_rate,rejection_rate,approved_bad_rate,rejected_bad_rate,captured_bad_share_rejected,avg_approved_pd,avg_rejected_pd
BLOG001,validation,0.24,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.25,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.26,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.27,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.28,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.29,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.3,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.31,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.32,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.33,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.34,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.35,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.36,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.37,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.38,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.39,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.4,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.41,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.42,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.43,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.44,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.45,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.46,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.47,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.48,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.49,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.5,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.51,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.52,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.53,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.54,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
