model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
GNB007,validation,Low Risk,8963,105,0.011714827624679236,1e-06,6.967990909649116e-05,0.0001548011744564,0.0011937434455675303,0.19999107481536024,44817,0.19999107481536024
GNB007,validation,Medium Risk,13445,283,0.02104871699516549,0.0001548141876023,0.0002839662265106864,0.0004797324695773,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GNB007,validation,High Risk,13445,771,0.05734473782075121,0.0004797843775643,0.0032231219696883255,0.0149170585326324,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
GNB007,validation,Very High Risk,6702,987,0.14726947179946284,0.0149178047944029,0.06235083646446837,0.1237557721777905,0.8000089251846397,0.9495280808621729,44817,0.14954146863913248
GNB007,validation,Extreme Risk,2262,857,0.378868258178603,0.1237584755421542,0.3112739044308014,0.999999,0.9500301224981592,0.9991855769016221,44817,0.05047191913782716
GNB008,train,Low Risk,20914,350,0.016735201300564214,1e-06,0.00011683775836692757,0.0003153653868719,0.013932850735849598,0.19999426238130302,104573,0.19999426238130302
GNB008,train,Medium Risk,31372,626,0.019954099196735943,0.0003153942350642,0.0006908826529840344,0.0012050711165476,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
GNB008,train,High Risk,31372,1736,0.05533596837944664,0.0012051086576325,0.007791607915020083,0.0357868497531306,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
GNB008,train,Very High Risk,15686,2386,0.15211016192783375,0.0357872378409822,0.14797551803259745,0.2905948859252461,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
GNB008,train,Extreme Risk,5229,1908,0.3648881239242685,0.2906309975882225,0.5044058082789958,0.999999,0.9500062157535885,0.9990867623573962,104573,0.050003346944239906
GNB008,validation,Low Risk,8963,139,0.015508200379337275,1e-06,0.00011783971382828409,0.0003163572541736,0.013510498248432515,0.19999107481536024,44817,0.19999107481536024
GNB008,validation,Medium Risk,13445,272,0.020230568984752697,0.0003164245547671,0.0006934909754347021,0.0012143120242753,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GNB008,validation,High Risk,13445,751,0.05585719598363704,0.0012144524770758,0.007996541397325007,0.0370891902686359,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
