model_id,split,top_population_share,top_population_count,overall_default_rate,top_group_default_rate,top_group_default_count,default_capture_share,lift_vs_overall
BLOG004,validation,0.46,20615,0.06700582368297744,0.13126364297841378,2706,0.9010989010989011,1.9589885738806427
BLOG004,validation,0.47,21063,0.06700582368297744,0.12889901723401226,2715,0.9040959040959041,1.92369871973917
BLOG004,validation,0.48,21512,0.06700582368297744,0.12662699888434362,2724,0.9070929070929071,1.8897909453878214
BLOG004,validation,0.49,21960,0.06700582368297744,0.12454462659380693,2735,0.9107559107559108,1.85871346322166
BLOG004,validation,0.5,22408,0.06700582368297744,0.12254551945733666,2746,0.9144189144189144,1.8288786365366156
BLOG005,validation,0.01,448,0.06700582368297744,0.6428571428571429,288,0.0959040959040959,9.594048808334524
BLOG005,validation,0.02,896,0.06700582368297744,0.59375,532,0.17715617715617715,8.861170079920079
BLOG005,validation,0.03,1344,0.06700582368297744,0.5513392857142857,741,0.24675324675324675,8.228229359925788
BLOG005,validation,0.04,1792,0.06700582368297744,0.5100446428571429,914,0.3043623043623044,7.611944974668189
BLOG005,validation,0.05,2240,0.06700582368297744,0.4785714285714286,1072,0.356976356976357,7.142236335093478
BLOG005,validation,0.06,2689,0.06700582368297744,0.45072517664559314,1212,0.4035964035964036,6.726656757151364
BLOG005,validation,0.07,3137,0.06700582368297744,0.4274784826267134,1341,0.44655344655344653,6.379721330629842
BLOG005,validation,0.08,3585,0.06700582368297744,0.403068340306834,1445,0.4811854811854812,6.015422513330463
BLOG005,validation,0.09,4033,0.06700582368297744,0.3818497396479048,1540,0.5128205128205128,5.698754506093955
BLOG005,validation,0.1,4481,0.06700582368297744,0.3621959384066057,1623,0.5404595404595405,5.40543968417211
BLOG005,validation,0.11,4929,0.06700582368297744,0.3444917833231893,1698,0.5654345654345654,5.141221529535589
BLOG005,validation,0.12,5378,0.06700582368297744,0.3276310896243957,1762,0.5867465867465868,4.889591256642205
BLOG005,validation,0.13,5826,0.06700582368297744,0.31273601098523857,1822,0.6067266067266067,4.667295972136342
BLOG005,validation,0.14,6274,0.06700582368297744,0.299330570608862,1878,0.6253746253746254,4.467232162163625
BLOG005,validation,0.15,6722,0.06700582368297744,0.2856292770008926,1920,0.6393606393606394,4.262753016100234
BLOG005,validation,0.16,7170,0.06700582368297744,0.27377963737796374,1963,0.6536796536796536,4.085908094694705
BLOG005,validation,0.17,7618,0.06700582368297744,0.26332370700971386,2006,0.667998667998668,3.929862996022093
BLOG005,validation,0.18,8067,0.06700582368297744,0.2548655014255609,2056,0.6846486846486847,3.8036320937027517
BLOG005,validation,0.19,8515,0.06700582368297744,0.24662360540223136,2100,0.6993006993006993,3.680629411692242
BLOG005,validation,0.2,8963,0.06700582368297744,0.24087916992078545,2159,0.7189477189477189,3.5948990204261877
BLOG005,validation,0.21,9411,0.06700582368297744,0.23217511422803103,2185,0.7276057276057276,3.464999032420135
BLOG005,validation,0.22,9859,0.06700582368297744,0.2253778273658586,2222,0.73992673992674,3.36355580721135
BLOG005,validation,0.23,10307,0.06700582368297744,0.21839526535364315,2251,0.7495837495837496,3.2593475215964784
BLOG005,validation,0.24,10756,0.06700582368297744,0.21188174042394942,2279,0.7589077589077589,3.162139181012368
BLOG005,validation,0.25,11204,0.06700582368297744,0.20590860406997502,2307,0.7682317682317682,3.072995640560796
BLOG005,validation,0.26,11652,0.06700582368297744,0.19962238242361827,2326,0.7745587745587745,2.979179591434998
BLOG005,validation,0.27,12100,0.06700582368297744,0.19512396694214876,2361,0.7862137862137862,2.9120448972515085
BLOG005,validation,0.28,12548,0.06700582368297744,0.18999043672298374,2384,0.7938727938727939,2.835431702502152
BLOG005,validation,0.29,12996,0.06700582368297744,0.18536472760849493,2409,0.8021978021978022,2.766397268474831
BLOG005,validation,0.3,13445,0.06700582368297744,0.18058757902566008,2428,0.8085248085248086,2.6951027403240118
BLOG005,validation,0.31,13893,0.06700582368297744,0.17627582235658246,2449,0.8155178155178155,2.6307537564285566
BLOG005,validation,0.32,14341,0.06700582368297744,0.17320967854403457,2484,0.8271728271728271,2.5849943933759563
BLOG005,validation,0.33,14789,0.06700582368297744,0.1693826492663466,2505,0.8341658341658341,2.52787951787208
BLOG005,validation,0.34,15237,0.06700582368297744,0.16545251689965215,2521,0.8394938394938395,2.4692259240398635
BLOG005,validation,0.35,15685,0.06700582368297744,0.16200191265540326,2541,0.8461538461538461,2.4177288443147544
BLOG005,validation,0.36,16134,0.06700582368297744,0.1582372629230197,2553,0.8501498501498501,2.3615449258811103
BLOG005,validation,0.37,16582,0.06700582368297744,0.15456519117114945,2563,0.8534798534798534,2.306742648257544
BLOG005,validation,0.38,17030,0.06700582368297744,0.15173223722842044,2584,0.8604728604728604,2.264463428526846
BLOG005,validation,0.39,17478,0.06700582368297744,0.14933058702368693,2610,0.8691308691308691,2.2286210185283304
BLOG005,validation,0.4,17926,0.06700582368297744,0.14665848488229388,2629,0.8754578754578755,2.188742363293295
BLOG005,validation,0.41,18374,0.06700582368297744,0.1438445629694133,2643,0.8801198801198801,2.146747179021044
BLOG005,validation,0.42,18823,0.06700582368297744,0.14168835998512458,2667,0.8881118881118881,2.1145678419758003
BLOG005,validation,0.43,19271,0.06700582368297744,0.13891339318146437,2677,0.8914418914418915,2.073154026711185
BLOG005,validation,0.44,19719,0.06700582368297744,0.13636594147776257,2689,0.8954378954378954,2.035135664072223
BLOG005,validation,0.45,20167,0.06700582368297744,0.1339316705509,2701,0.8994338994338994,1.998806419939955
BLOG005,validation,0.46,20615,0.06700582368297744,0.13160320155226776,2713,0.9034299034299035,1.9640561718175105
BLOG005,validation,0.47,21063,0.06700582368297744,0.12927883017613825,2723,0.9067599067599068,1.929367076924405
BLOG005,validation,0.48,21512,0.06700582368297744,0.12723131275567126,2737,0.9114219114219114,1.8988097714854875
BLOG005,validation,0.49,21960,0.06700582368297744,0.12490892531876138,2743,0.9134199134199135,1.8641502850519243
BLOG005,validation,0.5,22408,0.06700582368297744,0.12281328097108175,2752,0.9164169164169165,1.832874729697293
BNB001,validation,0.01,448,0.06700582368297744,0.6339285714285714,284,0.09457209457209458,9.460798130440986
BNB001,validation,0.02,896,0.06700582368297744,0.5859375,525,0.17482517482517482,8.744575736763236
BNB001,validation,0.03,1344,0.06700582368297744,0.5491071428571429,738,0.24575424575424576,8.194916690452406
BNB001,validation,0.04,1792,0.06700582368297744,0.5027901785714286,901,0.30003330003330003,7.503678798879692
