model_id,split,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99
RLOG004,train,104573,0.06699715640614004,0.0886299427713564,1e-06,0.9907076211771672,0.006594081215345512,0.0097024502393359,0.0175872333528222,0.0294124089443724,0.0805601070623485,0.22966356329750764,0.4212283035989998
RLOG004,validation,44817,0.06717147950485021,0.08818667148448434,1e-06,0.8870023775334692,0.006528266453033612,0.009655908237697899,0.0175063268525047,0.029495043247799,0.0814428795406024,0.22998982043579647,0.42035409181991756
RLOG005,train,104573,0.06993669296079319,0.08158909414164002,1e-06,0.92771099297705,0.009209223772792744,0.01246447352106046,0.020479880799481,0.0330687600542557,0.0897071915269984,0.22768934698542645,0.3474337201047962
RLOG005,validation,44817,0.07007074943212183,0.08160334169534121,1e-06,0.845829566125211,0.009154097004051677,0.01243485237386944,0.0204092473320987,0.0330936514607257,0.0905863073670324,0.22747478416103237,0.341993433464941
RLOG006,train,104573,0.06730075792361508,0.08721852013753757,1e-06,0.9860491319598148,0.0069443438285290635,0.010071568143583861,0.0178947957784387,0.0297949226566373,0.0820720848263471,0.22921326953566645,0.4060467706262324
RLOG006,validation,44817,0.06746273252684412,0.08682751851091448,1e-06,0.8541658771401438,0.006889796154138288,0.01001003261969844,0.0177939667611802,0.0298299019524189,0.082949025623784,0.22868566006303934,0.4068451296825898
RLOG007,train,104573,0.0670268452939344,0.08847826719296241,1e-06,0.9902942136332044,0.0066241113083897836,0.00973865480703582,0.0176157159228392,0.0294440166237437,0.0807199642013607,0.2297605586275815,0.41911729800882935
RLOG007,validation,44817,0.06719992710537168,0.08803972534015118,1e-06,0.8839114596385632,0.006562636907864764,0.00968705293358788,0.0175365516976903,0.0295184040123836,0.0816061879382424,0.2297872232134112,0.418811435182304
RLOG008,train,104573,0.06699931585375049,0.08862854717333066,1e-06,0.9906986284314931,0.006587584034949648,0.00970002817127478,0.0175894448150936,0.0294141163696558,0.0805704557232389,0.22968623117004408,0.42118095356177354
RLOG008,validation,44817,0.06717390378493841,0.08818568981541249,1e-06,0.8869083184709119,0.00652085292037018,0.00965088890670328,0.0175078671394853,0.0294979756725301,0.0814552826763975,0.22998486888202607,0.4203985510541135
T001,train,104573,0.06699626098514908,0.10530488438468727,0.0223691888737599,0.6098514464425332,0.0223691888737599,0.0223691888737599,0.0223691888737599,0.0223691888737599,0.1086944641783704,0.3471223021582734,0.6098514464425332
T001,validation,44817,0.0673579192383045,0.10571646840292166,0.0223691888737599,0.6098514464425332,0.0223691888737599,0.0223691888737599,0.0223691888737599,0.0223691888737599,0.1086944641783704,0.3471223021582734,0.6098514464425332
T002,train,104573,0.06699626098514908,0.11265257200405424,0.0124345773612013,0.6917510853835022,0.0124345773612013,0.0124345773612013,0.0124345773612013,0.0124345773612013,0.0560038734667527,0.3337637185280826,0.5641025641025641
